link_noticia,titulo,data_hora,tags
https://g1.globo.com/politica/noticia/2019/10/02/caso-coaf-aras-afirma-que-impedir-compartilhamento-de-dados-pode-contrariar-dever-do-servidor.ghtml,"Impedir compartilhamento de dados pode contrariar dever do servidor de informar, afirma Aras", 02/10/2019 20h53 , Jair Bolsonaro 
https://g1.globo.com/politica/noticia/2019/10/02/justica-solta-suspeita-de-invadir-celulares-de-autoridades.ghtml,Justiça manda soltar suspeita de invadir celulares de autoridades , 02/10/2019 19h49 ,Política
https://g1.globo.com/pr/parana/noticia/2019/10/02/lula-atingiu-16-da-pena-em-29-de-setembro-diz-justica.ghtml,"Lula atingiu 1/6 da pena em 29 de setembro, diz Justiça", 02/10/2019 16h17 ,Paraná
https://g1.globo.com/politica/noticia/2019/10/03/fachin-manda-soltar-ex-gerente-da-petrobras-que-teve-sentenca-anulada-pelo-stf.ghtml,Fachin manda soltar ex-gerente da Petrobras que teve sentença anulada pelo STF, 03/10/2019 17h33 , Luiz Edson Fachin 
https://g1.globo.com/politica/noticia/2019/10/03/condutas-individuais-nao-podem-macular-dignidade-de-instituicoes-diz-toffoli-a-novo-procurador-geral.ghtml,"'Condutas individuais' não podem 'macular dignidade' de instituições, diz Toffoli a Aras", 03/10/2019 15h12 ,Política
https://g1.globo.com/economia/noticia/2019/10/03/desidratacao-da-reforma-da-previdencia-sera-compensada-no-pacto-federativo-diz-secretario.ghtml,"'Desidratação' da reforma da Previdência será compensada no pacto federativo, diz secretário", 03/10/2019 16h21 ,Economia
https://g1.globo.com/mundo/noticia/2019/10/03/equador-decreta-estado-de-excecao-em-meio-a-atos-contra-alta-dos-combustiveis.ghtml,Equador decreta estado de exceção em meio a atos contra alta dos combustíveis, 03/10/2019 16h13 , Equador 
https://g1.globo.com/monitor-da-violencia/noticia/2019/10/03/em-sete-meses-brasil-registra-244-mil-mortes-violentas-queda-e-de-226percent-em-relacao-ao-ano-passado.ghtml,"Em sete meses, Brasil registra 24,4 mil mortes violentas; queda é de 22,6% em relação ao ano passado", 03/10/2019 05h01 ,Monitor da Violência
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/03/francisco-el-hombre-e-monsieur-perine-homenageiam-marielle-e-agatha-no-palco-sunset.ghtml,"Francisco, el Hombre e Monsieur Periné homenageiam Marielle e Ágatha no Palco Sunset", 03/10/2019 17h02 ,Rock in Rio 2019
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/04/pf-indicia-ministro-do-turismo-e-mais-10-por-candidaturas-laranja-no-psl-em-minas.ghtml,PF indicia ministro do Turismo e mais 10 por 'candidaturas-laranja' no PSL em Minas, 04/10/2019 09h37 , Minas Gerais 
https://g1.globo.com/politica/noticia/2019/10/04/bolsonaro-sanciona-lei-com-limite-de-gastos-para-campanhas-de-prefeitos-e-vereadores.ghtml,Bolsonaro sanciona lei com limite de gastos para campanhas de prefeitos e vereadores, 04/10/2019 08h17 , Jair Bolsonaro 
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml,Saiba quais regras vão vigorar nas eleições municipais de 2020, 04/10/2019 05h01 ,Eleições 2020  
